Station1,Station2,Station3,Station4,Station5,Station6,Station7,Station8,Station9,Station10,Station11,Station12,Station13,Station14,Station15,Station16,Station17,Station18,Station19,Station20,Station21,Station22,Station23,Station24,Station25,Station26,Station27,Station28,Station29,Station30,Station32
30.83333333,39,38.83333333,34.16666667,30.33333333,32.66666667,36,27.33333333,31.33333333,30.66666667,33.66666667,39,35.16666667,39.5,30.33333333,37.66666667,39.83333333,36.66666667,31.5,32.83333333,34.16666667,38.83333333,35.5,32.83333333,30.33333333,37,33.83333333,32,37.66666667,30.5,41.83333333
25.66666667,31.66666667,32.83333333,27.5,25.66666667,28.83333333,31.16666667,22.16666667,24.83333333,25.66666667,28.5,31.83333333,29.16666667,31.5,24,32.16666667,32.83333333,32.83333333,25,26.66666667,27.66666667,32.33333333,28.33333333,27.33333333,24.33333333,30.16666667,29.33333333,27,31.83333333,25.16666667,34.66666667
18.16666667,23.5,23.5,20,18,22.66666667,21.5,16,18.16666667,17.33333333,21.66666667,23.16666667,20.5,24,17.5,23.33333333,23.66666667,23.33333333,20.33333333,19.83333333,20.5,22.5,21.16666667,20,15.83333333,21.16666667,23.16666667,21.33333333,22.66666667,18.16666667,25.5
10.66666667,13,13.33333333,9.333333333,12,12.33333333,10.33333333,9,10.66666667,8.666666667,10.83333333,14,11.5,11.33333333,10,13,11.66666667,13,11.5,11,11.66666667,12.33333333,12,11.16666667,8.833333333,13,12.83333333,11.83333333,13.66666667,10.16666667,14
6.333333333,7.333333333,8.666666667,6.333333333,6.666666667,9,5.833333333,5.333333333,6.666666667,7.333333333,6.833333333,7,6.333333333,6.5,7.5,8.5,8.166666667,7.333333333,7.166666667,6.833333333,7.666666667,10.33333333,6.5,6.666666667,6.666666667,6.333333333,9.5,8,9.166666667,6.5,8
5,6.333333333,8.166666667,5.166666667,5,81.33333333,5.833333333,4.833333333,5.833333333,5.833333333,7.5,5.833333333,6.166666667,6.333333333,5.666666667,6.333333333,7.5,5.833333333,6.833333333,5.833333333,5.333333333,6.666666667,6,5,6.333333333,6.333333333,8.166666667,5,6.166666667,5,5.666666667
5.166666667,8.333333333,6.833333333,5.666666667,6.666666667,6.333333333,6.166666667,5.333333333,6.666666667,4.833333333,5.5,6.666666667,6.5,6.333333333,6.166666667,5.833333333,7.166666667,6.333333333,6.333333333,6.166666667,6.833333333,5.166666667,7,5.833333333,6,7.5,8.166666667,6.166666667,6.5,6,6.166666667
4.5,5.833333333,6,5.333333333,6.166666667,5.833333333,6,5.5,6,4.833333333,7.5,7.666666667,5.833333333,7.333333333,5.666666667,6.666666667,7,7.5,4.833333333,5.333333333,5.666666667,5.666666667,7.166666667,6,5,5.333333333,6.666666667,4.833333333,6.333333333,6.666666667,6
6.833333333,7.333333333,6.166666667,5.5,7.5,6.333333333,6.166666667,5.666666667,6.333333333,5.333333333,6,6,6.5,6.5,5.333333333,6.166666667,8.5,7.333333333,6,6,5.333333333,6.333333333,6.833333333,5.166666667,6.833333333,7.333333333,6.833333333,6.166666667,5.666666667,6.166666667,7.333333333
8.166666667,10.66666667,8,7.333333333,7,6.166666667,7.333333333,5,8.666666667,5.666666667,7.5,7,6.166666667,6.833333333,6,6.333333333,9.5,8.333333333,7.666666667,6,6,8.833333333,7.333333333,7,7.333333333,7,6,6.666666667,7.666666667,6.833333333,6.833333333
6.5,7.5,8,7.666666667,6.166666667,7.666666667,7.5,5,7.833333333,7.833333333,6.666666667,7.833333333,6.666666667,6.833333333,6.666666667,7.333333333,9.166666667,8.166666667,6.833333333,6.666666667,6.166666667,9.833333333,9.333333333,6.833333333,6,6.166666667,7.166666667,6.833333333,7,6.333333333,6.5
5.666666667,6.666666667,8.5,7,6,6.5,7.166666667,5.833333333,7.333333333,5.333333333,7.166666667,7.666666667,7.5,7.333333333,8,8,20.66666667,8.666666667,7,7.166666667,5.333333333,7.5,6.666666667,7.333333333,8,6.166666667,6.333333333,6.333333333,7.166666667,6.666666667,7.166666667
6.666666667,9,11,7.833333333,7.333333333,7.333333333,8,7,10.33333333,7.666666667,9.333333333,7,7.833333333,8,6.666666667,9.833333333,11.83333333,7,8.833333333,7,8.166666667,7.666666667,8.166666667,7.5,7,9.666666667,6.833333333,7.5,7.333333333,7,8.666666667
7.166666667,9.666666667,9,8,7.333333333,9.666666667,7,8.666666667,8.333333333,7.166666667,8.666666667,9.5,8,9,8,9.166666667,9.5,9.333333333,6.833333333,7.833333333,7.833333333,8.833333333,8.333333333,8,6.833333333,7.5,7.833333333,7.166666667,7.333333333,7.333333333,8.333333333
7.5,9.5,8,6.666666667,7.166666667,8.166666667,7.166666667,5.833333333,6.666666667,6,8,8,7.833333333,9.5,6,8.333333333,7.5,7.166666667,7.666666667,6.333333333,7.166666667,9.333333333,7.5,8,6.166666667,8.166666667,7.666666667,6.333333333,8.5,7,7.833333333
8,7.5,9.666666667,7,8,7.5,7.166666667,7,8.166666667,6.833333333,8,7.666666667,6.833333333,7.833333333,6.833333333,7.666666667,8,6.833333333,6.833333333,6.5,7,8.166666667,7.666666667,6.666666667,7,7,7.833333333,7,8.166666667,6.833333333,7.833333333
6.5,7.666666667,8.666666667,6.833333333,5.833333333,7.333333333,6.833333333,5.166666667,7.166666667,6.833333333,9.166666667,8.833333333,7,8.5,7.166666667,9.5,8,6.833333333,6,7.166666667,6.166666667,8,7.333333333,6.833333333,7.666666667,7.5,8.333333333,6.833333333,8.666666667,7.666666667,7.833333333
6.5,7.5,8.333333333,5.666666667,5.5,7.333333333,6,5.5,6,6.333333333,6.166666667,6.833333333,7.166666667,7.5,6.5,7.833333333,8.666666667,6.666666667,6.333333333,6.333333333,6.5,6.666666667,6.833333333,6.333333333,6.5,8,7,6.333333333,8.166666667,6,6.333333333
6.333333333,6.833333333,6.5,4.5,5.833333333,6.333333333,5.166666667,4.333333333,4.666666667,5.333333333,5.333333333,5.666666667,5.5,7.166666667,5.166666667,6.5,5.833333333,5.666666667,5,5.333333333,5.5,5.333333333,5,5.5,7,6,5.833333333,4.666666667,7.333333333,4.666666667,6.333333333
5,6.833333333,5.333333333,5.666666667,4.666666667,5.5,5.333333333,5.5,4.333333333,4.333333333,4.833333333,5.166666667,6.166666667,6.333333333,5.2,6.666666667,6.333333333,6.166666667,5.333333333,4.666666667,4.666666667,4.5,6.666666667,5,6.5,5.333333333,5,5.333333333,7.166666667,5.166666667,5.166666667
6.166666667,5.833333333,6.333333333,5.5,5,5.5,6.833333333,5.166666667,5.333333333,4.833333333,6,7.5,6.333333333,6.333333333,4.4,7,7.666666667,6,7,6.5,5.333333333,5.666666667,6.5,5.5,6,7.5,5.333333333,5.166666667,7.166666667,5.166666667,6.5
5.666666667,7.666666667,7.5,7.5,5.166666667,5.833333333,6.5,5.833333333,7.333333333,6.833333333,5.666666667,7.166666667,7.5,7.666666667,6,7.833333333,7.833333333,6.666666667,8,6.5,6.166666667,6.333333333,6.833333333,5.333333333,5,8.833333333,6.5,6,7.833333333,6,5.833333333
8.833333333,10,8.333333333,6.666666667,7.166666667,7.333333333,6.5,6.666666667,7,6,8,8,7.5,7.5,14.5,10,8,8,7.166666667,8.166666667,8,7.833333333,9.5,7,5.166666667,9,9.166666667,7.166666667,9.166666667,8.666666667,7.666666667
7.666666667,8.166666667,8.666666667,6.833333333,6.833333333,8.5,7.5,7.333333333,6.166666667,6.333333333,9.833333333,8.333333333,9,7.833333333,8.833333333,7.833333333,10.16666667,8.333333333,8.833333333,7,8.333333333,7.833333333,8,8.166666667,7.833333333,9.833333333,7.666666667,8.166666667,8.333333333,6.833333333,6.833333333
6.666666667,10.5,10,8.333333333,9,8,8.166666667,6.166666667,8.333333333,7,7.666666667,9,8.166666667,8.333333333,11.5,7.833333333,8.166666667,11,8.333333333,7.333333333,8.666666667,10.16666667,8.666666667,8.833333333,8.166666667,9.333333333,9.833333333,8.5,11.66666667,8.333333333,9.5
9.166666667,11.33333333,10.5,9.5,9,10.33333333,9,7.166666667,8.166666667,8.166666667,9.333333333,12.5,11,10,11.83333333,9,11.16666667,10.16666667,10.66666667,8.166666667,9.333333333,11.83333333,9.666666667,10.33333333,9.666666667,12.16666667,10.33333333,10.33333333,16.83333333,9.833333333,11.66666667
